store_name,city,region,total_revenue,total_orders
RetailPulse Koramangala,Bengaluru,South,171573.03,60
RetailPulse Salt Lake,Kolkata,East,166960.61,69
RetailPulse Bandra Hub,Mumbai,West,152205.74,60
RetailPulse T. Nagar,Chennai,South,150091.83,68
RetailPulse Anna Nagar,Chennai,South,145759.99,63
RetailPulse MG Road,Bengaluru,South,144523.11,63
RetailPulse Connaught,New Delhi,North,142914.16,58
RetailPulse Park Street,Kolkata,East,137636.37,60
RetailPulse Lajpat Nagar,New Delhi,North,133249.58,48
RetailPulse Downtown,Mumbai,West,114872.06,51
